Date,Open,High,Low,Close,Volume
08/05/2022,"183.58","186.10","183.23","185.39","1,908,521"
08/04/2022,"182.86","185.93","181.12","183.64","2,478,858"
08/03/2022,"183.32","185.44","181.60","182.87","4,155,892"
08/02/2022,"188.00","189.47","183.16","183.51","8,193,096"
08/01/2022,"195.08","197.19","193.40","194.86","3,185,132"
07/29/2022,"189.19","199.49","189.12","198.25","5,188,148"
07/28/2022,"186.85","189.52","184.20","187.84","2,229,204"
07/27/2022,"182.92","186.18","180.32","185.25","1,856,625"
07/26/2022,"181.16","183.65","180.58","181.23","1,767,673"
07/25/2022,"179.17","182.60","177.77","181.81","1,845,604"
07/22/2022,"181.49","182.80","177.34","178.62","1,961,489"
07/21/2022,"178.42","181.07","176.48","180.99","2,214,529"
07/20/2022,"178.78","180.80","177.07","179.97","2,176,090"
07/19/2022,"173.90","179.70","172.88","179.49","2,671,398"
07/18/2022,"176.13","176.70","172.71","173.49","2,476,409"
07/15/2022,"172.25","173.38","169.20","173.38","2,282,108"
07/14/2022,"169.75","170.70","167.08","169.94","2,531,232"
07/13/2022,"172.25","175.25","171.86","173.87","2,389,041"
07/12/2022,"174.74","177.24","172.60","174.49","2,718,396"
07/11/2022,"177.41","179.77","174.62","175.02","2,773,877"
07/08/2022,"180.23","181.24","176.39","179.10","2,491,087"
07/07/2022,"182.50","182.50","176.33","180.28","4,677,626"
07/06/2022,"173.48","174.67","169.29","172.31","3,190,582"
07/05/2022,"173.77","174.42","170.60","173.76","3,725,409"
07/01/2022,"179.31","181.32","173.72","178.29","3,423,158"
06/30/2022,"180.26","182.14","177.12","178.76","4,197,106"
06/29/2022,"187.32","187.57","182.13","183.48","2,436,919"
06/28/2022,"189.97","193.10","187.43","187.44","3,327,704"
06/27/2022,"188.08","190.08","185.82","187.59","3,061,090"
06/24/2022,"181.34","185.60","179.37","185.49","4,868,921"
06/23/2022,"186.58","187.23","176.02","178.67","6,667,926"
06/22/2022,"190.00","192.79","187.71","187.83","4,012,246"
06/21/2022,"197.10","198.42","193.87","196.37","2,755,355"
06/17/2022,"195.68","197.74","190.87","192.64","7,226,161"
06/16/2022,"201.07","201.25","193.25","194.79","4,789,903"
06/15/2022,"207.48","208.65","203.13","206.00","2,343,231"
06/14/2022,"208.06","209.73","205.27","206.69","2,359,013"
