Date,Open,High,Low,Close,Volume
08/05/2022,"187.00","191.80","186.28","190.17","4,090,307"
08/04/2022,"188.56","191.58","187.25","191.27","3,759,666"
08/03/2022,"185.53","190.68","185.37","189.65","5,786,256"
08/02/2022,"180.81","185.14","179.43","183.79","4,317,852"
08/01/2022,"181.30","185.18","179.76","182.98","3,997,132"
07/29/2022,"181.82","184.42","180.22","184.02","4,751,359"
07/28/2022,"178.41","181.88","175.93","181.29","4,562,052"
07/27/2022,"174.86","182.23","174.35","180.30","4,960,877"
07/26/2022,"177.11","177.13","169.76","170.46","3,886,477"
07/25/2022,"181.83","181.99","175.08","177.29","4,407,891"
07/22/2022,"185.07","187.56","180.93","182.47","3,804,734"
07/21/2022,"180.66","185.53","179.91","185.35","3,885,958"
07/20/2022,"176.10","183.50","175.61","182.45","5,654,028"
07/19/2022,"170.92","174.10","167.81","173.81","4,373,417"
07/18/2022,"168.95","172.64","167.11","167.89","3,818,189"
07/15/2022,"163.71","167.61","162.22","167.38","6,037,651"
07/14/2022,"161.03","161.71","157.65","161.04","6,096,089"
07/13/2022,"162.41","165.84","161.17","163.49","6,225,916"
07/12/2022,"172.21","173.38","164.35","166.33","7,072,984"
07/11/2022,"174.00","176.32","171.26","174.36","3,697,537"
07/08/2022,"174.05","176.61","172.84","175.50","2,869,242"
07/07/2022,"174.17","176.94","173.17","176.64","4,000,121"
07/06/2022,"173.52","175.06","170.83","172.73","4,085,109"
