Date,Open,High,Low,Close,Volume
08/05/2022,"44.91","45.07","44.54","45.01","19,533,920"
08/04/2022,"45.90","45.93","45.01","45.38","15,249,320"
08/03/2022,"44.90","45.82","44.79","45.71","14,943,770"
08/02/2022,"45.52","45.70","44.90","44.92","15,005,410"
08/01/2022,"45.06","45.43","44.76","45.28","14,153,360"
07/29/2022,"45.11","45.49","44.83","45.37","23,701,680"
07/28/2022,"44.88","45.87","44.71","45.62","17,576,189"
07/27/2022,"44.19","44.79","43.83","44.64","22,348,961"
07/26/2022,"44.37","44.54","43.75","43.83","19,513,029"
07/25/2022,"44.66","44.66","44.11","44.34","12,954,740"
07/22/2022,"44.78","44.92","44.25","44.46","14,854,640"
07/21/2022,"44.29","44.69","44.07","44.58","15,364,580"
07/20/2022,"44.08","44.32","43.66","44.13","15,599,220"
07/19/2022,"42.82","44.09","42.65","44.03","22,861,381"
07/18/2022,"43.30","43.32","42.41","42.60","16,743,801"
07/15/2022,"42.50","43.13","42.50","43.07","19,897,840"
07/14/2022,"41.79","42.47","41.35","42.33","17,336,230"
07/13/2022,"41.85","43.05","41.80","42.70","16,854,199"
07/12/2022,"43.58","43.83","42.66","42.86","17,385,311"
07/11/2022,"43.34","43.68","43.07","43.25","15,279,570"
07/08/2022,"43.03","43.61","42.94","43.39","11,816,980"
07/07/2022,"42.88","43.36","42.79","43.22","22,316,699"
07/06/2022,"42.12","42.93","42.01","42.69","17,250,439"
