Date,Open,High,Low,Close,Volume
08/05/2022,"149.64","155.01","149.02","153.64","7,170,150"
08/04/2022,"155.32","155.44","150.73","151.14","10,640,040"
08/03/2022,"159.31","159.96","154.35","155.36","8,751,360"
08/02/2022,"160.89","161.47","158.30","159.14","5,928,321"
08/01/2022,"161.18","161.86","159.15","160.51","8,017,771"
07/29/2022,"156.55","164.66","155.90","163.78","17,143,670"
07/28/2022,"150.69","151.47","148.03","150.39","6,574,257"
07/27/2022,"148.34","150.20","146.66","149.26","6,223,030"
07/26/2022,"149.50","150.68","146.53","147.32","6,112,846"
07/25/2022,"145.70","148.61","144.18","148.48","6,210,859"
07/22/2022,"145.56","146.30","143.42","144.19","5,889,480"
07/21/2022,"143.12","145.47","141.50","145.40","6,724,233"
07/20/2022,"144.50","147.26","143.32","146.52","7,856,587"
07/19/2022,"139.69","145.01","139.42","144.61","9,152,131"
07/18/2022,"140.56","142.14","139.08","139.58","7,943,901"
07/15/2022,"138.96","138.96","136.43","137.65","7,051,940"
07/14/2022,"134.31","136.16","132.54","135.94","10,150,200"
07/13/2022,"137.61","140.73","137.14","137.99","9,414,621"
07/12/2022,"138.50","139.62","137.26","138.92","8,653,904"
07/11/2022,"141.91","142.85","139.93","141.51","7,058,086"
07/08/2022,"144.88","145.45","141.09","142.77","7,915,513"
07/07/2022,"144.10","145.30","143.08","143.52","12,741,790"
07/06/2022,"141.66","143.26","136.80","140.78","12,421,180"
