Date,Open,High,Low,Close,Volume
08/05/2022,"106.81","107.70","105.37","106.63","10,099,980"
08/04/2022,"108.92","109.45","107.66","108.12","7,322,411"
08/03/2022,"105.73","109.70","105.73","109.02","11,243,030"
08/02/2022,"105.74","106.36","104.62","104.71","9,093,020"
08/01/2022,"104.87","106.65","103.86","106.22","7,769,658"
07/29/2022,"105.14","106.34","103.37","106.10","10,320,040"
07/28/2022,"103.25","104.97","102.71","104.90","7,970,282"
07/27/2022,"100.97","103.65","100.81","103.50","9,445,183"
07/26/2022,"102.14","102.36","99.56","99.78","6,346,629"
07/25/2022,"102.78","103.39","101.81","102.69","6,726,685"
07/22/2022,"103.28","104.57","102.11","102.72","7,803,460"
07/21/2022,"102.71","104.25","101.61","104.18","8,611,311"
07/20/2022,"100.25","104.26","99.95","103.35","15,112,720"
07/19/2022,"96.68","99.85","96.68","99.61","13,683,360"
07/18/2022,"96.36","97.27","95.31","95.70","10,430,410"
07/15/2022,"92.91","95.32","92.70","95.20","14,946,730"
07/14/2022,"91.48","92.04","90.23","91.84","11,146,430"
07/13/2022,"92.12","93.25","91.01","92.94","12,006,430"
07/12/2022,"93.58","95.25","93.31","93.60","8,665,299"
07/11/2022,"95.00","95.34","93.43","93.64","7,650,632"
07/08/2022,"96.57","97.12","95.35","95.86","7,717,297"
07/07/2022,"96.90","97.53","95.93","97.43","7,813,050"
07/06/2022,"97.53","98.19","95.40","96.08","8,640,229"
