Date,Open,High,Low,Close,Volume
08/05/2022,"330.90","336.91","329.67","334.67","1,876,393"
08/04/2022,"333.28","334.30","330.62","331.87","1,533,372"
08/03/2022,"332.07","335.51","329.62","333.17","1,770,613"
08/02/2022,"329.50","331.83","327.22","327.88","1,862,939"
08/01/2022,"331.73","334.80","329.01","332.08","1,476,496"
07/29/2022,"329.50","335.18","329.50","333.39","2,112,387"
07/28/2022,"325.30","329.98","321.89","329.11","1,820,696"
07/27/2022,"320.29","326.39","318.38","324.54","2,028,448"
07/26/2022,"321.77","324.29","317.76","318.55","2,054,744"
07/25/2022,"325.97","327.29","322.60","324.12","4,024,480"
07/22/2022,"327.11","329.05","322.19","323.93","1,830,279"
07/21/2022,"320.51","327.16","319.85","326.54","2,518,823"
07/20/2022,"317.28","322.17","316.31","321.45","3,489,808"
07/19/2022,"303.59","319.14","303.50","318.05","5,641,124"
07/18/2022,"305.76","311.25","298.71","301.26","6,767,934"
07/15/2022,"286.50","296.43","285.15","293.87","3,457,630"
07/14/2022,"284.24","284.24","277.84","281.59","3,171,949"
07/13/2022,"290.51","291.19","285.81","290.15","1,884,091"
07/12/2022,"289.71","299.08","289.51","292.53","1,772,558"
07/11/2022,"293.20","296.54","291.88","293.18","1,520,253"
07/08/2022,"300.50","300.89","295.07","296.47","1,438,883"
07/07/2022,"297.66","299.07","293.60","298.60","2,046,455"
07/06/2022,"296.27","297.34","290.60","293.76","1,774,514"
