Date,Open,High,Low,Close,Volume
08/05/2022,"305.38","309.78","304.50","309.69","2,029,298"
08/04/2022,"304.54","309.97","304.44","307.17","2,718,383"
08/03/2022,"303.35","308.07","300.34","306.37","3,329,353"
08/02/2022,"305.40","305.61","300.01","300.71","3,091,035"
08/01/2022,"300.64","308.45","300.01","305.82","3,303,894"
07/29/2022,"300.00","301.44","297.43","300.94","3,236,036"
07/28/2022,"295.00","301.24","293.17","299.63","3,992,053"
07/27/2022,"298.21","300.31","291.79","298.91","3,219,621"
07/26/2022,"297.00","300.64","295.91","298.18","2,690,206"
07/25/2022,"306.80","307.43","303.83","306.15","1,910,480"
07/22/2022,"307.66","310.67","304.36","306.59","2,391,540"
07/21/2022,"302.85","305.25","298.87","305.00","1,965,036"
07/20/2022,"300.93","303.69","298.28","302.30","2,533,412"
07/19/2022,"295.44","300.01","293.31","299.83","2,614,945"
07/18/2022,"297.25","298.49","292.00","293.05","2,664,016"
07/15/2022,"294.81","295.45","290.95","292.41","2,647,191"
07/14/2022,"281.85","290.29","281.65","289.48","2,822,219"
07/13/2022,"281.63","289.79","279.76","287.18","2,941,558"
07/12/2022,"288.97","293.64","283.41","285.12","2,696,086"
07/11/2022,"285.18","289.59","285.14","286.39","2,453,278"
07/08/2022,"285.99","287.99","283.91","286.47","1,890,962"
07/07/2022,"282.84","286.97","281.45","286.69","3,133,933"
07/06/2022,"284.99","285.92","280.52","283.58","2,206,112"
