Date,Open,High,Low,Close,Volume
08/05/2022,"191.57","192.85","190.28","192.27","1,848,911"
08/04/2022,"191.13","192.82","190.44","192.44","1,701,205"
08/03/2022,"189.36","191.91","187.80","191.50","2,535,107"
08/02/2022,"191.13","191.35","188.66","189.12","3,335,549"
08/01/2022,"191.41","193.16","190.90","191.99","2,333,338"
07/29/2022,"190.48","193.13","188.86","192.46","2,907,441"
07/28/2022,"189.11","191.48","186.88","190.44","3,653,912"
07/27/2022,"180.35","185.02","179.55","183.66","3,492,445"
07/26/2022,"181.65","183.53","180.41","181.42","2,324,131"
07/25/2022,"181.77","182.44","180.36","181.26","1,941,207"
07/22/2022,"180.50","182.89","180.20","181.47","2,327,308"
07/21/2022,"178.26","180.23","177.11","180.03","1,853,782"
07/20/2022,"176.81","178.64","176.18","178.26","1,648,766"
07/19/2022,"172.92","177.69","172.79","177.23","2,455,374"
07/18/2022,"173.14","174.23","170.53","170.95","1,657,002"
07/15/2022,"171.03","172.95","170.13","172.80","2,188,681"
07/14/2022,"168.72","169.78","167.35","169.51","1,824,205"
07/13/2022,"170.78","172.33","169.87","170.87","1,997,128"
07/12/2022,"171.72","176.82","171.72","173.61","2,757,656"
07/11/2022,"175.01","175.05","172.09","172.84","3,224,685"
07/08/2022,"173.89","174.33","171.52","173.34","1,614,764"
07/07/2022,"174.21","174.21","171.26","173.79","2,756,659"
07/06/2022,"172.77","174.25","171.08","173.21","2,201,924"
