Date,Open,High,Low,Close,Volume
08/05/2022,"131.25","132.67","131.07","132.48","2,586,519"
08/04/2022,"132.15","132.29","131.02","131.64","3,179,789"
08/03/2022,"131.82","132.86","131.32","132.34","3,088,532"
08/02/2022,"132.20","132.78","130.51","131.81","4,403,633"
08/01/2022,"130.75","132.70","130.70","132.04","4,142,099"
07/29/2022,"129.52","131.00","129.31","130.79","5,786,815"
07/28/2022,"128.75","129.81","128.61","129.22","3,913,680"
07/27/2022,"127.97","129.43","127.58","129.12","4,175,625"
07/26/2022,"128.26","129.30","127.63","128.08","3,645,313"
07/25/2022,"128.44","129.13","127.90","128.54","4,702,352"
07/22/2022,"127.03","128.32","125.71","128.25","6,467,205"
07/21/2022,"128.75","128.81","125.13","127.15","11,975,360"
07/20/2022,"130.70","130.72","128.06","129.18","9,882,016"
07/19/2022,"131.58","132.56","127.72","130.88","29,690,539"
07/18/2022,"140.15","140.31","137.78","138.13","8,231,694"
07/15/2022,"140.68","140.68","138.61","139.92","4,519,320"
07/14/2022,"135.60","139.43","135.02","139.06","5,298,351"
07/13/2022,"137.18","138.90","136.80","137.18","4,123,213"
07/12/2022,"140.84","141.55","138.57","139.18","3,235,571"
07/11/2022,"140.62","141.87","140.13","141.00","3,912,773"
07/08/2022,"140.76","141.32","139.82","140.47","2,820,928"
07/07/2022,"138.91","141.33","138.83","140.83","3,897,077"
07/06/2022,"138.00","139.14","137.13","138.08","3,237,059"
