Date,Open,High,Low,Close,Volume
08/05/2022,"35.35","35.69","35.18","35.39","40,205,090"
08/04/2022,"36.01","36.10","35.36","35.66","54,046,262"
08/03/2022,"36.09","36.59","35.26","36.52","59,513,859"
08/02/2022,"36.59","36.66","36.00","36.01","53,929,367"
08/01/2022,"36.05","37.69","36.05","36.96","52,513,449"
07/29/2022,"35.61","36.62","35.24","36.31","125,292,398"
07/28/2022,"40.09","40.12","39.04","39.71","56,662,301"
07/27/2022,"39.27","40.43","39.23","40.18","42,571,578"
07/26/2022,"39.10","39.57","38.88","38.96","35,925,488"
07/25/2022,"39.29","39.41","38.55","39.16","32,263,400"
07/22/2022,"40.37","40.51","38.94","39.20","41,349,969"
07/21/2022,"40.51","40.65","39.82","40.61","29,661,199"
07/20/2022,"40.21","40.67","39.56","40.56","36,387,871"
07/19/2022,"39.32","40.73","39.24","40.22","53,095,320"
07/18/2022,"39.10","39.34","38.53","38.71","30,814,369"
07/15/2022,"38.27","38.67","37.73","38.62","32,892,289"
07/14/2022,"36.99","38.16","36.29","37.71","36,690,672"
07/13/2022,"36.68","37.43","36.62","37.21","27,059,160"
07/12/2022,"37.65","37.70","36.99","37.21","30,546,279"
07/11/2022,"37.66","37.68","37.03","37.20","25,946,881"
07/08/2022,"37.66","38.14","37.39","37.99","22,566,350"
07/07/2022,"37.89","38.33","37.73","38.14","33,165,410"
07/06/2022,"36.82","37.43","36.46","36.99","26,258,320"
