Date,Open,High,Low,Close,Volume
08/05/2022,"171.30","171.53","169.79","171.11","5,235,516"
08/04/2022,"174.81","175.09","171.60","171.79","5,651,554"
08/03/2022,"172.55","175.26","171.77","174.59","5,009,952"
08/02/2022,"175.01","175.49","172.70","172.92","5,794,225"
08/01/2022,"174.17","175.16","173.54","173.91","5,461,387"
07/29/2022,"173.79","174.85","172.91","174.52","6,451,431"
07/28/2022,"173.40","176.09","171.44","174.20","5,513,018"
07/27/2022,"172.63","174.10","171.13","173.20","4,648,499"
07/26/2022,"172.56","174.98","172.49","173.68","4,525,545"
07/25/2022,"172.12","172.98","171.72","172.46","4,437,270"
07/22/2022,"171.60","172.49","171.06","172.12","4,257,032"
07/21/2022,"170.05","171.39","169.77","171.31","5,729,215"
07/20/2022,"172.20","172.55","169.76","170.71","7,455,775"
07/19/2022,"176.33","176.75","169.88","171.69","13,256,440"
07/18/2022,"177.74","178.19","173.91","174.23","7,605,677"
07/15/2022,"177.71","178.51","176.55","178.23","5,691,095"
07/14/2022,"172.53","176.01","172.30","175.68","5,359,551"
07/13/2022,"175.66","176.33","174.50","175.44","5,291,697"
07/12/2022,"177.98","178.45","175.20","175.85","4,708,892"
07/11/2022,"177.70","179.02","177.52","178.35","3,645,448"
07/08/2022,"178.33","179.99","177.77","178.28","3,828,375"
07/07/2022,"177.86","179.12","177.51","178.50","5,725,839"
07/06/2022,"178.07","179.44","177.41","178.30","5,335,631"
