Date,Open,High,Low,Close,Volume
08/05/2022,"112.53","116.19","112.05","115.76","14,174,640"
08/04/2022,"112.85","113.32","111.02","112.36","18,033,850"
08/03/2022,"113.45","114.10","111.71","113.61","14,394,500"
08/02/2022,"113.92","114.40","112.27","112.43","14,942,850"
08/01/2022,"114.50","115.11","113.07","114.21","14,740,410"
07/29/2022,"115.59","116.50","114.79","115.36","12,944,540"
07/28/2022,"115.25","115.98","113.53","114.81","10,384,770"
07/27/2022,"114.01","115.74","113.30","115.24","9,274,454"
07/26/2022,"114.58","115.58","113.03","113.42","10,675,120"
07/25/2022,"115.84","116.46","114.77","115.22","9,394,033"
07/22/2022,"115.24","116.25","113.67","114.76","7,645,542"
07/21/2022,"114.44","115.53","113.37","115.32","11,595,860"
07/20/2022,"114.10","114.74","113.48","114.54","11,667,540"
07/19/2022,"113.13","114.94","112.67","114.56","11,862,270"
07/18/2022,"114.77","115.84","111.29","111.79","13,977,900"
07/15/2022,"109.16","113.88","107.67","112.95","18,863,891"
07/14/2022,"107.99","108.23","106.06","108.00","26,204,850"
07/13/2022,"111.75","112.48","110.38","111.91","12,979,880"
07/12/2022,"112.58","115.18","112.26","112.97","11,250,920"
07/11/2022,"113.55","114.23","112.22","112.86","7,944,573"
07/08/2022,"115.16","115.65","113.61","114.36","8,807,840"
07/07/2022,"113.50","114.90","113.40","114.72","10,347,390"
07/06/2022,"111.73","112.99","110.79","111.89","10,656,200"
