Date,Open,High,Low,Close,Volume
08/05/2022,"63.63","63.63","62.67","63.38","10,445,390"
08/04/2022,"63.64","63.73","62.92","63.67","11,795,650"
08/03/2022,"63.55","64.10","63.31","63.92","11,316,990"
08/02/2022,"64.59","64.60","63.43","63.64","15,241,900"
08/01/2022,"64.09","65.04","64.03","64.52","12,831,540"
07/29/2022,"63.71","64.29","63.63","64.17","13,734,240"
07/28/2022,"62.92","64.25","62.89","64.06","10,837,000"
07/27/2022,"62.88","63.19","61.79","63.01","12,142,870"
07/26/2022,"62.75","63.80","62.53","63.21","20,117,949"
07/25/2022,"61.55","62.30","61.31","62.19","14,941,650"
07/22/2022,"61.38","61.87","61.32","61.59","11,644,690"
07/21/2022,"61.26","61.88","60.79","61.36","11,959,620"
07/20/2022,"62.40","62.58","61.15","61.50","11,010,450"
07/19/2022,"62.09","62.65","61.93","62.53","10,998,230"
07/18/2022,"62.52","62.56","61.51","61.65","10,780,840"
07/15/2022,"62.75","62.97","62.07","62.50","21,968,420"
07/14/2022,"61.33","62.25","61.30","62.18","14,433,040"
07/13/2022,"62.33","63.00","61.98","62.38","13,145,290"
07/12/2022,"63.00","63.45","62.47","62.67","14,731,070"
07/11/2022,"62.99","63.46","62.59","62.94","12,704,110"
07/08/2022,"63.03","63.42","62.88","63.14","11,311,460"
07/07/2022,"63.26","63.58","62.70","62.91","14,828,430"
07/06/2022,"63.60","64.09","63.19","63.41","13,450,510"
