Date,Open,High,Low,Close,Volume
08/05/2022,"259.64","260.03","257.07","259.23","1,818,555"
08/04/2022,"261.70","262.18","258.69","260.64","2,089,596"
08/03/2022,"261.05","262.92","259.76","262.09","2,305,469"
08/02/2022,"264.62","265.45","260.89","261.05","2,375,235"
08/01/2022,"262.54","265.46","262.41","264.23","2,383,975"
07/29/2022,"263.65","264.35","262.10","263.37","2,653,895"
07/28/2022,"258.80","264.00","257.56","263.46","2,849,053"
07/27/2022,"255.80","259.91","254.69","258.89","2,718,471"
07/26/2022,"249.56","259.22","248.70","257.09","5,272,297"
07/25/2022,"254.57","254.80","248.66","250.38","2,860,421"
07/22/2022,"253.75","254.53","252.45","253.99","2,226,576"
07/21/2022,"253.99","254.80","252.32","253.47","2,056,470"
07/20/2022,"256.78","256.91","253.47","254.58","2,183,656"
07/19/2022,"253.88","256.62","252.97","256.50","2,181,323"
07/18/2022,"255.24","255.59","252.07","252.42","2,164,571"
07/15/2022,"254.02","256.39","253.45","255.01","2,627,237"
07/14/2022,"249.89","253.10","249.62","252.60","2,371,030"
07/13/2022,"248.96","254.80","248.26","252.67","2,205,342"
07/12/2022,"252.97","255.62","250.76","251.48","2,112,805"
07/11/2022,"252.08","255.40","252.08","253.28","1,478,345"
07/08/2022,"252.60","254.62","252.32","253.24","1,450,519"
07/07/2022,"253.26","254.92","251.18","252.94","2,396,689"
07/06/2022,"252.47","252.86","249.37","251.46","1,948,691"
