Date,Open,High,Low,Close,Volume
08/05/2022,"147.01","148.49","146.39","147.41","4,187,422"
08/04/2022,"143.49","148.33","143.20","148.12","5,904,863"
08/03/2022,"141.90","143.81","141.55","143.49","2,735,485"
08/02/2022,"142.59","143.56","141.63","141.75","2,697,932"
08/01/2022,"142.15","144.06","141.58","143.36","2,855,911"
07/29/2022,"140.77","143.72","139.82","143.24","3,998,306"
07/28/2022,"139.90","140.63","138.30","140.37","3,094,219"
07/27/2022,"139.62","140.21","137.57","138.86","5,030,293"
07/26/2022,"143.51","145.70","138.52","140.75","12,551,210"
07/25/2022,"134.00","135.10","133.78","134.12","2,354,081"
07/22/2022,"134.65","134.95","133.48","134.12","1,760,049"
07/21/2022,"133.04","133.99","132.37","133.95","1,669,052"
07/20/2022,"132.12","133.47","131.86","133.01","2,005,433"
07/19/2022,"130.40","132.27","130.06","132.13","2,812,741"
07/18/2022,"130.19","130.83","128.52","128.91","2,540,036"
07/15/2022,"129.87","130.34","128.25","130.13","2,638,640"
07/14/2022,"126.98","128.54","125.88","128.31","2,525,645"
07/13/2022,"128.00","129.49","127.67","128.37","2,490,288"
07/12/2022,"129.16","132.03","129.06","130.20","2,638,143"
07/11/2022,"128.73","130.51","128.55","129.01","2,693,366"
07/08/2022,"129.82","130.16","128.14","128.72","2,191,302"
07/07/2022,"130.13","130.31","127.57","130.05","3,449,723"
07/06/2022,"129.50","130.99","127.96","129.84","3,031,590"
