Date,Open,High,Low,Close,Volume
08/05/2022,"86.53","87.53","86.02","87.41","8,801,196"
08/04/2022,"87.81","87.89","86.64","86.82","7,993,784"
08/03/2022,"87.25","88.02","86.76","87.62","8,187,599"
08/02/2022,"89.06","89.59","87.55","87.61","7,442,984"
08/01/2022,"89.34","90.02","88.35","88.53","7,343,370"
07/29/2022,"90.08","91.08","88.28","89.34","14,938,570"
07/28/2022,"91.04","91.13","87.42","89.94","13,909,820"
07/27/2022,"90.50","91.37","90.01","91.23","6,966,277"
07/26/2022,"91.40","91.95","90.60","91.29","6,414,143"
07/25/2022,"90.20","90.73","89.75","90.53","6,364,514"
07/22/2022,"90.11","90.45","89.46","90.11","6,354,709"
07/21/2022,"89.15","90.41","88.91","90.14","8,197,208"
07/20/2022,"92.36","92.43","89.22","89.65","11,844,020"
07/19/2022,"93.15","93.39","92.12","92.36","8,233,636"
07/18/2022,"94.90","95.10","91.92","92.34","8,653,654"
07/15/2022,"94.85","95.35","94.37","94.96","9,731,879"
07/14/2022,"92.55","94.06","92.06","93.88","6,270,976"
07/13/2022,"93.59","94.36","93.02","93.77","6,415,637"
07/12/2022,"93.78","94.24","93.14","93.60","7,826,543"
07/11/2022,"92.88","94.78","92.83","94.30","9,508,992"
07/08/2022,"92.91","93.82","92.41","92.78","7,161,691"
07/07/2022,"92.94","93.95","92.55","93.01","8,140,093"
07/06/2022,"93.31","94.51","92.70","93.13","10,455,340"
