Date,Open,High,Low,Close,Volume
08/05/2022,"279.15","283.65","278.68","282.91","16,774,609"
08/04/2022,"281.80","283.80","280.17","283.65","18,098,670"
08/03/2022,"276.76","283.50","276.61","282.47","23,518,869"
08/02/2022,"276.00","277.89","272.38","274.82","22,754,180"
08/01/2022,"277.82","281.28","275.84","278.01","21,539,580"
07/29/2022,"277.70","282.00","276.63","280.74","32,152,750"
07/28/2022,"269.75","277.84","267.87","276.41","33,459,328"
07/27/2022,"261.16","270.05","258.85","268.74","45,994,047"
07/26/2022,"259.86","259.88","249.57","251.90","39,347,961"
07/25/2022,"261.00","261.50","256.81","258.83","21,056,000"
07/22/2022,"265.24","265.33","259.07","260.36","21,881,289"
07/21/2022,"259.79","264.89","257.03","264.84","22,404,680"
07/20/2022,"259.90","264.87","258.91","262.27","22,788,279"
07/19/2022,"257.58","259.72","253.68","259.53","25,012,561"
07/18/2022,"259.75","260.84","253.30","254.25","20,975,029"
07/15/2022,"255.72","260.37","254.77","256.72","29,774,051"
07/14/2022,"250.57","255.14","245.94","254.08","25,102,820"
07/13/2022,"250.19","253.55","248.11","252.72","29,497,420"
07/12/2022,"265.88","265.94","252.04","253.67","35,868,449"
07/11/2022,"265.65","266.53","262.18","264.51","19,519,109"
07/08/2022,"264.79","268.10","263.29","267.66","19,658,750"
07/07/2022,"265.12","269.06","265.02","268.40","20,859,869"
07/06/2022,"263.75","267.99","262.40","266.21","23,824,420"
