Date,Open,High,Low,Close,Volume
08/05/2022,"112.79","114.30","112.57","113.87","4,162,241"
08/04/2022,"114.64","115.35","113.83","114.48","4,331,973"
08/03/2022,"113.42","115.10","112.58","114.28","5,986,544"
08/02/2022,"113.57","113.78","111.67","111.77","6,334,415"
08/01/2022,"114.00","115.55","113.25","114.30","4,802,882"
07/29/2022,"112.76","115.21","111.50","114.92","7,559,983"
07/28/2022,"109.43","112.40","108.03","112.23","6,773,540"
07/27/2022,"106.30","108.38","105.75","107.86","7,437,032"
07/26/2022,"107.48","107.93","104.57","105.20","8,459,456"
07/25/2022,"109.61","109.61","107.68","109.28","5,079,527"
07/22/2022,"111.93","111.93","108.75","109.12","6,039,269"
07/21/2022,"110.37","111.67","110.07","111.62","4,291,350"
07/20/2022,"109.22","111.63","108.87","111.11","5,884,576"
07/19/2022,"105.60","109.58","105.43","109.19","8,973,853"
07/18/2022,"106.19","106.68","103.68","103.94","6,834,758"
07/15/2022,"104.76","105.62","103.93","104.70","7,862,046"
07/14/2022,"103.11","103.80","101.85","103.22","6,951,305"
07/13/2022,"101.94","105.88","101.56","105.11","5,299,449"
07/12/2022,"105.01","105.86","103.15","103.76","6,017,439"
07/11/2022,"106.60","107.09","104.87","105.11","4,936,666"
07/08/2022,"106.58","108.61","106.51","107.93","5,938,841"
07/07/2022,"105.65","108.28","105.27","108.13","7,633,944"
07/06/2022,"104.89","105.72","103.45","104.23","6,432,881"
