Date,Open,High,Low,Close,Volume
08/05/2022,"143.75","144.84","142.77","144.72","4,580,446"
08/04/2022,"144.85","146.46","144.01","144.65","6,124,932"
08/03/2022,"141.66","145.27","140.91","144.88","6,811,247"
08/02/2022,"143.11","143.72","141.77","141.95","7,494,999"
08/01/2022,"138.34","143.94","138.27","142.90","12,590,030"
07/29/2022,"141.43","142.50","138.23","138.91","18,694,721"
07/28/2022,"146.14","148.61","145.08","148.06","7,115,675"
07/27/2022,"143.88","146.21","143.53","145.64","5,500,030"
07/26/2022,"142.69","144.49","141.71","144.27","5,375,711"
07/25/2022,"142.80","144.42","142.53","143.99","5,262,135"
07/22/2022,"140.76","143.17","140.67","143.02","5,292,834"
07/21/2022,"140.60","141.36","138.95","140.77","8,310,202"
07/20/2022,"144.00","144.22","140.64","141.55","8,635,300"
07/19/2022,"144.57","145.01","143.64","144.04","5,943,647"
07/18/2022,"144.94","145.09","143.17","143.31","6,047,504"
07/15/2022,"145.34","145.70","144.10","145.07","6,264,592"
07/14/2022,"143.76","145.53","143.47","145.27","4,867,147"
07/13/2022,"144.41","146.96","144.21","145.70","5,075,613"
07/12/2022,"145.86","146.92","144.37","144.75","5,204,424"
07/11/2022,"145.15","146.58","144.68","146.04","5,483,189"
07/08/2022,"145.99","146.81","144.58","145.02","4,294,177"
07/07/2022,"145.29","146.19","144.60","146.00","6,623,363"
07/06/2022,"145.51","147.49","144.97","146.05","5,485,269"
