Date,Open,High,Low,Close,Volume
08/05/2022,"158.27","159.55","157.97","158.96","882,311"
08/04/2022,"157.62","159.56","156.89","157.70","968,180"
08/03/2022,"157.44","158.53","155.45","158.12","1,142,599"
08/02/2022,"156.62","159.65","155.99","156.71","1,656,940"
08/01/2022,"157.93","158.19","155.15","156.27","1,263,324"
07/29/2022,"156.05","158.88","156.05","158.70","1,361,114"
07/28/2022,"158.65","158.89","152.11","155.74","1,458,797"
07/27/2022,"161.32","161.66","157.26","158.96","1,456,404"
07/26/2022,"159.76","160.96","159.33","160.86","1,107,482"
07/25/2022,"158.49","160.51","157.57","159.98","1,176,360"
07/22/2022,"157.14","158.21","155.48","156.42","880,992"
07/21/2022,"157.18","159.40","152.17","156.83","2,080,777"
07/20/2022,"158.43","158.63","156.36","158.20","1,271,755"
07/19/2022,"156.36","158.58","155.82","158.35","1,288,252"
07/18/2022,"157.24","157.91","154.57","154.99","1,098,027"
07/15/2022,"157.13","158.12","155.51","156.18","1,561,978"
07/14/2022,"159.39","160.03","155.31","155.68","1,654,529"
07/13/2022,"164.41","165.48","162.77","163.32","1,022,300"
07/12/2022,"167.18","169.09","164.79","165.28","1,032,133"
07/11/2022,"168.13","170.42","168.09","168.52","883,144"
07/08/2022,"170.34","171.12","168.92","169.00","689,869"
07/07/2022,"172.00","173.21","169.42","169.63","1,155,052"
07/06/2022,"166.78","171.35","166.71","169.90","1,366,778"
