Date,Open,High,Low,Close,Volume
08/05/2022,"530.00","535.50","527.56","535.06","2,373,351"
08/04/2022,"539.29","540.43","532.76","533.75","2,368,022"
08/03/2022,"537.26","543.62","535.69","540.65","1,802,871"
08/02/2022,"537.55","540.53","531.72","535.46","2,114,181"
08/01/2022,"542.27","543.65","531.00","535.38","2,335,110"
07/29/2022,"540.01","543.85","536.69","542.34","2,945,668"
07/28/2022,"537.49","544.34","531.74","541.49","2,344,515"
07/27/2022,"533.54","537.86","528.04","534.61","2,254,226"
07/26/2022,"533.80","537.64","531.03","531.59","2,637,778"
07/25/2022,"526.09","532.89","524.22","529.47","2,337,174"
07/22/2022,"526.00","527.60","518.40","521.41","1,850,361"
07/21/2022,"519.39","522.47","511.14","522.46","2,667,760"
07/20/2022,"533.45","534.05","515.73","519.47","4,327,501"
07/19/2022,"521.09","533.84","520.59","533.45","2,953,499"
07/18/2022,"531.00","532.16","518.75","519.37","3,211,973"
07/15/2022,"526.06","531.99","515.45","529.75","5,742,524"
07/14/2022,"495.00","505.89","492.28","502.43","3,765,477"
07/13/2022,"508.07","511.86","501.19","501.24","3,467,663"
07/12/2022,"513.25","519.14","510.62","514.42","2,706,479"
07/11/2022,"514.86","521.47","511.81","516.95","1,743,844"
07/08/2022,"512.31","528.37","511.01","518.63","3,092,242"
07/07/2022,"515.25","517.30","512.23","514.38","2,385,476"
07/06/2022,"505.64","517.41","504.30","515.29","2,506,694"
