Date,Open,High,Low,Close,Volume
08/05/2022,"210.71","215.95","210.50","215.87","5,553,727"
08/04/2022,"210.53","214.88","208.55","213.47","6,789,745"
08/03/2022,"207.99","210.33","206.88","208.48","9,520,093"
08/02/2022,"207.80","208.84","203.93","206.26","9,939,408"
08/01/2022,"208.45","213.99","207.56","211.36","8,028,363"
07/29/2022,"212.00","214.16","209.83","212.11","6,059,699"
07/28/2022,"210.64","212.72","207.92","211.35","7,477,062"
07/27/2022,"210.77","216.85","201.20","210.47","17,432,240"
07/26/2022,"213.85","215.15","211.75","212.49","6,140,989"
07/25/2022,"214.58","214.80","211.62","214.27","4,357,203"
07/22/2022,"217.93","218.07","212.12","213.70","5,071,466"
07/21/2022,"213.15","216.90","212.73","216.19","4,801,270"
07/20/2022,"212.00","214.13","211.21","213.37","4,460,290"
07/19/2022,"208.22","214.11","207.90","213.66","4,927,142"
07/18/2022,"211.50","212.91","206.64","207.21","4,648,889"
07/15/2022,"209.37","211.71","207.18","210.04","7,245,682"
07/14/2022,"200.00","206.08","197.98","205.91","5,605,463"
07/13/2022,"200.43","205.57","199.50","204.15","7,597,330"
07/12/2022,"203.25","208.12","202.76","204.82","6,779,493"
07/11/2022,"202.00","206.74","202.00","205.06","5,366,255"
07/08/2022,"202.32","204.10","200.46","203.57","3,621,759"
07/07/2022,"202.54","203.43","200.04","202.80","4,650,703"
07/06/2022,"200.00","202.51","198.67","201.12","4,111,355"
