Date,Open,High,Low,Close,Volume
08/05/2022,"125.51","126.81","125.12","126.58","10,668,960"
08/04/2022,"130.67","130.80","125.33","125.57","17,702,000"
08/03/2022,"132.16","132.94","129.86","130.50","10,667,700"
08/02/2022,"133.15","133.71","131.40","132.68","6,565,006"
08/01/2022,"131.06","134.23","131.00","132.54","8,332,092"
07/29/2022,"128.32","132.27","128.01","132.05","10,047,280"
07/28/2022,"126.27","130.51","126.27","129.75","11,087,440"
07/27/2022,"121.24","126.77","121.03","126.59","14,053,230"
07/26/2022,"121.13","122.69","120.06","121.98","31,797,180"
07/25/2022,"132.39","132.70","131.46","132.02","6,845,054"
07/22/2022,"132.54","133.39","131.23","132.21","4,538,767"
07/21/2022,"130.68","132.56","130.50","132.55","6,254,884"
07/20/2022,"130.51","131.31","129.50","130.64","6,188,272"
07/19/2022,"129.39","129.96","128.60","129.56","5,665,085"
07/18/2022,"128.65","130.30","128.26","128.77","4,747,912"
07/15/2022,"128.80","130.27","128.05","129.07","7,061,417"
07/14/2022,"124.16","128.32","124.14","127.82","6,968,463"
07/13/2022,"124.44","126.46","123.91","125.37","4,229,706"
07/12/2022,"125.11","127.13","124.72","125.07","4,577,423"
07/11/2022,"125.02","126.33","124.62","125.45","3,844,626"
07/08/2022,"125.82","126.61","125.15","125.40","4,917,023"
07/07/2022,"125.19","125.53","124.12","125.32","5,829,096"
07/06/2022,"124.48","126.28","124.30","125.13","7,100,041"
